Date,Price,Open,High,Low,Vol.,Change %
18-Jun-14,810.12,811.25,818.75,803.19,4.90M,-0.2
17-Jun-14,811.71,812.25,816.75,804.64,5.04M,0.08
16-Jun-14,811.04,796.5,814.92,795,4.69M,1.79
13-Jun-14,796.75,797.12,801.75,782.76,5.08M,0.38
12-Jun-14,793.76,820,824.26,780.17,10.56M,-0.57
11-Jun-14,798.34,776.25,814.31,772.59,10.19M,3.84
10-Jun-14,768.79,750,772.3,749.09,5.24M,2.97
9-Jun-14,746.61,751.5,753.75,744.02,5.43M,-0.55
6-Jun-14,750.76,750.04,752.5,737.5,8.44M,-1.25
5-Jun-14,760.29,750,767.1,740.5,6.08M,1.9
4-Jun-14,746.12,753.75,756.84,738.38,2.75M,-1.08
3-Jun-14,754.3,752,759.24,743.69,3.41M,0.8
2-Jun-14,748.29,740.12,749.42,740.12,3.11M,1.83
30-May-14,734.85,735,739.86,720,14.02M,0.51
29-May-14,731.12,756.25,756.25,728.75,20.67M,-7.84
28-May-14,793.33,780.88,797,779.5,2.69M,1.25
27-May-14,783.51,775,788.75,774.88,2.49M,1.27
26-May-14,773.71,767.75,777.74,762.54,2.88M,0.82
23-May-14,767.39,781.25,792.75,753.04,4.54M,-1.42
22-May-14,778.48,790,795,770.29,4.92M,-1.37
21-May-14,789.27,779.5,791.08,774.76,3.39M,1.12
20-May-14,780.55,762.25,784.71,760.55,4.39M,3.55
19-May-14,753.76,799.5,799.5,750.02,8.62M,-5.11
16-May-14,794.39,824.75,835,764.76,7.09M,-2.9
15-May-14,818.11,813.52,823.71,801.31,4.20M,0.56
14-May-14,813.52,812.56,816.25,804.29,2.59M,-0.34
13-May-14,816.31,795.75,818.75,795.75,3.65M,2.84
12-May-14,793.77,779.55,796.62,776.26,3.52M,2.05
9-May-14,777.86,766.25,781.25,763.21,3.09M,1.5
8-May-14,766.33,767.5,772.1,761.61,4.58M,-0.07
7-May-14,766.84,787.75,792.5,762.5,7.80M,-3.09
6-May-14,791.29,794.23,796.12,788.75,2.28M,-0.37
5-May-14,794.23,798,808.25,793.64,2.10M,-1.33
2-May-14,804.92,796.25,811.75,796.25,2.38M,1.22
30-Apr-14,795.2,794.41,797.5,792.75,3.87M,0.1
29-Apr-14,794.44,795.75,798.75,792.75,2.42M,-0.01
28-Apr-14,794.51,792.25,798.25,791.25,3.02M,0.08
25-Apr-14,793.9,797,800,790.84,2.98M,0.09
23-Apr-14,793.16,793.51,797.96,791,6.01M,0.7
22-Apr-14,787.66,793.01,800,785.6,3.31M,-1.02
21-Apr-14,795.74,802.5,805,792.5,3.06M,-0.28
17-Apr-14,798.01,795,802.51,789.59,4.20M,1.1
16-Apr-14,789.33,810.49,810.49,786.88,6.60M,-3.14
15-Apr-14,814.95,833.05,847,811.88,10.39M,0.76
11-Apr-14,808.79,802.5,813.9,791.25,9.34M,1.06
10-Apr-14,800.3,813.62,814.44,796.54,10.63M,-1.64
9-Apr-14,813.64,820.26,827.45,807.62,5.33M,-1.18
7-Apr-14,823.35,824.5,828.61,814,3.55M,-0.68
4-Apr-14,829.01,837.75,839,826.52,1.96M,-0.66
3-Apr-14,834.54,834.88,837,829.76,2.35M,0.49
2-Apr-14,830.51,837.2,837.5,827.62,2.82M,0.24
1-Apr-14,828.49,820.76,831.25,818.75,4.31M,0.95
31-Mar-14,820.7,821.33,826.24,807.51,4.59M,0.62
28-Mar-14,815.65,810.02,819.75,806.83,3.57M,0.98
27-Mar-14,807.76,812,815.73,803.99,6.80M,-0.55
26-Mar-14,812.23,815,817.24,807.65,4.23M,-0.17
25-Mar-14,813.6,812,819.92,811.5,3.77M,-0.65
24-Mar-14,818.95,818.05,829.61,817.5,4.08M,-0.61
22-Mar-14,824.01,823.5,828.45,820.3,206.68K,-0.29
21-Mar-14,826.41,832.5,834.5,817.62,6.19M,0.08
20-Mar-14,825.76,817.5,837.38,817.5,4.01M,0.96
19-Mar-14,817.94,837.5,839.46,809.69,7.89M,-2.35
18-Mar-14,837.64,850,852.98,835,5.90M,-1.28
14-Mar-14,848.54,835,850.98,833.76,5.58M,1.09
13-Mar-14,839.4,855,859.98,835,20.40M,-8.55
12-Mar-14,917.83,918.35,925.84,913,1.97M,-0.11
11-Mar-14,918.84,913.25,927.23,907.76,2.06M,0.1
10-Mar-14,917.9,932.42,932.42,911.33,3.72M,-1.84
7-Mar-14,935.08,956.75,958.5,927.08,7.54M,-2.39
6-Mar-14,957.98,959.5,962.49,954.34,3.11M,0.27
5-Mar-14,955.42,956.98,961.1,952.48,2.47M,0.58
4-Mar-14,949.89,942.5,956.11,940.48,3.47M,0.03
3-Mar-14,949.56,956.25,962.49,947.99,3.60M,-0.7
28-Feb-14,956.21,940.27,959.29,940.27,4.92M,0.45
26-Feb-14,951.88,945,954.45,943.02,3.68M,0.65
25-Feb-14,945.73,938.75,948.02,938.75,4.05M,0.88
24-Feb-14,937.48,936.5,938.42,932.5,2.18M,-0.02
21-Feb-14,937.67,934,938.85,931.81,2.76M,1.06
20-Feb-14,927.81,936.23,936.23,926.5,4.41M,-1.12
19-Feb-14,938.35,923.91,940.5,923.77,3.53M,1.94
18-Feb-14,920.5,911.75,923.65,911.75,2.49M,0.65
17-Feb-14,914.54,921.25,921.25,912.21,6.78M,0.38
14-Feb-14,911.08,903.89,916,900.81,2.98M,1.63
13-Feb-14,896.45,901.2,904.49,895.01,1.79M,-0.4
12-Feb-14,900.02,900.12,906.86,898.3,2.10M,0.11
11-Feb-14,899.06,896,905.5,893.38,2.92M,0.63
10-Feb-14,893.45,894.98,896.5,889.38,3.02M,0.2
7-Feb-14,891.64,896.75,900.46,887.21,3.78M,0.08
