Date,Price,Open,High,Low,Vol.,Change %
9-May-13,228.39,228.36,229.35,226.5,6.00M,0.5
8-May-13,227.26,223.25,228.59,221.66,7.13M,2.24
7-May-13,222.29,216.19,222.75,216.19,7.67M,2.79
6-May-13,216.26,218.78,220.43,215.73,3.96M,-1.36
3-May-13,219.24,220.86,221.03,218.05,8.68M,-0.85
2-May-13,221.13,217.15,222.06,215.59,9.19M,1.43
30-Apr-13,218.01,216.12,222.49,216.12,12.82M,1.29
29-Apr-13,215.23,210.89,215.46,209.93,6.20M,1.8
26-Apr-13,211.42,210.49,212.05,209.96,6.46M,-0.3
25-Apr-13,212.05,209.06,214.3,208.96,18.56M,0.71
23-Apr-13,210.55,210.49,210.82,208.2,4.37M,0.19
22-Apr-13,210.16,207.94,210.82,207.54,6.82M,0.54
18-Apr-13,209.03,206.25,209.83,205.72,8.83M,0.7
17-Apr-13,207.57,204.19,208.17,203.59,11.27M,1.67
16-Apr-13,204.16,198.79,204.79,197.36,10.08M,2.67
15-Apr-13,198.85,193.58,199.48,191.73,11.25M,2.4
12-Apr-13,194.18,190.83,196,189.61,12.94M,2.66
11-Apr-13,189.14,190.67,191.49,187.85,15.28M,0.16
10-Apr-13,188.84,192.92,192.92,186.39,13.42M,-0.82
9-Apr-13,190.4,194.41,195.87,189.57,9.32M,-1.93
8-Apr-13,194.15,193.88,194.78,189.34,7.56M,0.53
5-Apr-13,193.12,198.52,198.52,192.26,10.56M,-2.75
4-Apr-13,198.59,203.46,203.76,197.96,6.66M,-2.62
3-Apr-13,203.93,203.49,205.12,201.77,7.24M,0.15
2-Apr-13,203.63,203.26,204.59,201.8,6.13M,-0.01
1-Apr-13,203.66,204.85,205.45,202.67,4.06M,-0.73
28-Mar-13,205.15,203.99,205.52,201.94,12.48M,1.01
26-Mar-13,203.1,200.88,204.19,200.21,8.98M,1.31
25-Mar-13,200.48,202.96,204.19,199.72,9.20M,-1.05
22-Mar-13,202.6,203.13,203.53,200.98,7.70M,0.2
21-Mar-13,202.2,203.69,204.12,201.67,14.06M,-0.72
20-Mar-13,203.66,202.2,204.19,201.64,15.23M,0.3
19-Mar-13,203.06,203.53,203.86,201.31,12.76M,0.67
18-Mar-13,201.7,199.42,202.47,199.25,6.06M,0.77
15-Mar-13,200.15,200.25,200.88,199.65,9.44M,0
14-Mar-13,200.15,199.98,201.47,198.89,8.28M,0.09
13-Mar-13,199.98,197.56,200.71,197.56,11.21M,0.94
12-Mar-13,198.12,196.83,199.19,195.7,6.04M,0.44
11-Mar-13,197.26,197.56,198.56,196.57,6.63M,-0.05
8-Mar-13,197.36,195.21,198.22,193.88,9.02M,1.83
7-Mar-13,193.82,189.7,195.44,189.11,15.83M,1.85
6-Mar-13,190.3,196.14,196.14,189.84,14.40M,-1.9
5-Mar-13,193.98,194.71,197.36,192.26,15.23M,0.04
4-Mar-13,193.91,193.09,194.94,188.68,13.73M,0.42
1-Mar-13,193.09,195.57,197.36,191.59,16.86M,-1.2
28-Feb-13,195.44,196.14,201.47,193.05,48.34M,0
27-Feb-13,195.44,193.58,197.16,193.09,15.95M,1.36
26-Feb-13,192.82,194.25,197.79,191.46,10.62M,-0.61
25-Feb-13,194.01,194.18,195.47,191.66,8.25M,0.22
22-Feb-13,193.58,196.24,197.73,192.66,9.78M,-1.55
21-Feb-13,196.63,198.56,199.22,195.41,15.48M,-1.14
20-Feb-13,198.89,200.84,202.67,198.46,11.08M,-0.55
19-Feb-13,199.98,198.89,200.58,197.89,5.59M,0.45
18-Feb-13,199.09,199.19,199.48,198.06,11.20M,-0.1
15-Feb-13,199.28,198.56,200.18,198.46,7.01M,-0.05
14-Feb-13,199.38,199.12,200.18,198.29,11.56M,0.13
13-Feb-13,199.12,199.55,201.87,198.36,10.59M,0.1
12-Feb-13,198.92,197.89,199.52,197.56,6.63M,0.3
11-Feb-13,198.32,200.88,201.21,196.6,8.05M,-0.86
8-Feb-13,200.05,200.21,203.1,198.36,11.29M,-0.75
7-Feb-13,201.57,200.91,202.47,200.21,6.48M,-0.26
6-Feb-13,202.1,201.11,202.8,199.62,12.33M,0.79
5-Feb-13,200.51,202.2,203.33,200.21,7.98M,-1.56
4-Feb-13,203.69,205.12,206.11,203.03,11.61M,-0.7
1-Feb-13,205.12,204.02,205.48,201.9,9.91M,0.57
31-Jan-13,203.96,202.63,205.12,200.94,13.79M,1.14
30-Jan-13,201.67,202.07,203.49,198.89,11.14M,-0.31
29-Jan-13,202.3,198.29,203.36,198.29,14.33M,1.46
28-Jan-13,199.38,198.89,199.68,197.83,8.35M,0.33
25-Jan-13,198.72,198.22,199.22,197,20.65M,0.77
24-Jan-13,197.2,194.25,197.96,194.15,20.12M,1.61
23-Jan-13,194.08,191.93,194.54,191.43,11.72M,1.25
22-Jan-13,191.69,193.32,193.42,190.93,12.64M,-0.82
21-Jan-13,193.28,191.59,193.58,189.8,20.16M,1.42
18-Jan-13,190.57,190.07,192.16,188.71,24.56M,0.76
17-Jan-13,189.14,187.68,190.17,186.62,12.21M,0.46
16-Jan-13,188.28,188.91,189.51,187.25,8.93M,-0.04
15-Jan-13,188.35,184.47,189.08,182.15,17.81M,2.23
14-Jan-13,184.24,181.35,184.63,181.35,10.28M,1.65
11-Jan-13,181.25,185.46,186.09,180.39,13.91M,-2.71
10-Jan-13,186.29,185.66,186.95,184.63,12.52M,0.53
9-Jan-13,185.3,188.78,189.41,184.77,10.67M,-2.17
8-Jan-13,189.41,185.06,189.74,185.06,13.43M,2.38
7-Jan-13,185,188.48,188.94,184.63,12.17M,-1.19
4-Jan-13,187.22,188.81,188.81,185.69,9.04M,-0.4
3-Jan-13,187.98,189.67,189.94,187.48,6.52M,-0.65
2-Jan-13,189.21,190.93,191.96,188.61,9.80M,-0.64
1-Jan-13,190.43,190.5,191.73,190.04,3.98M,0.15
31-Dec-12,190.14,191,191.89,189.61,3.42M,-0.9
28-Dec-12,191.86,190.4,192.26,190.4,5.08M,0.35
27-Dec-12,191.2,193.91,194.08,190.6,10.65M,-0.72
26-Dec-12,192.59,190.6,192.92,189.37,6.48M,1.2
24-Dec-12,190.3,191.86,192.75,189.87,7.33M,0
21-Dec-12,190.3,189.37,191.89,186.62,35.54M,-0.02
20-Dec-12,190.33,192.22,192.32,189.64,11.47M,-1.03
19-Dec-12,192.32,193.82,195.84,191.43,15.20M,-1.02
18-Dec-12,194.31,194.64,196.24,192.32,6.36M,0.02
17-Dec-12,194.28,194.61,195.57,193.42,5.68M,-0.98
14-Dec-12,196.2,194.01,196.83,192.42,6.71M,0.24
13-Dec-12,195.74,202.27,202.47,193.78,18.42M,-3.5
12-Dec-12,202.83,201.14,203.2,201.11,6.98M,0.88
11-Dec-12,201.07,200.18,202.67,199.58,8.55M,0.44
10-Dec-12,200.18,199.28,200.64,197.56,4.06M,0.15
7-Dec-12,199.88,199.38,200.88,198.12,5.13M,0.05
6-Dec-12,199.78,197.86,200.35,195.57,8.86M,1.16
5-Dec-12,197.49,195.31,198.19,195.31,8.91M,0.93
4-Dec-12,195.67,195.41,196.37,194.25,4.63M,-0.34
3-Dec-12,196.33,197.23,197.76,195.01,5.49M,-0.79
30-Nov-12,197.89,196.33,198.22,194.78,8.57M,0.17
29-Nov-12,197.56,194.94,198.85,194.68,15.52M,1.28
27-Nov-12,195.07,190.33,195.57,190.27,9.35M,2.49
26-Nov-12,190.33,190.77,190.93,188.94,2.14M,0.17
23-Nov-12,190,191.56,191.56,187.55,3.80M,-0.83
22-Nov-12,191.59,190.57,191.76,188.68,6.13M,1.01
21-Nov-12,189.67,185.99,190.43,184.7,8.28M,1.98
20-Nov-12,185.99,187.95,188.78,185.1,6.72M,-0.41
19-Nov-12,186.75,181.68,187.42,180.99,8.23M,2.56
16-Nov-12,182.08,183.97,186.32,181.09,8.21M,-0.65
15-Nov-12,183.27,187.52,187.52,182.68,12.21M,-2.62
13-Nov-12,188.21,189.47,189.51,187.62,1.01M,0.03
12-Nov-12,188.15,190.87,192.26,187.75,5.33M,-1.51
9-Nov-12,191.03,190.96,192.52,190,3.81M,-0.29
8-Nov-12,191.59,190.93,193.22,190.57,3.75M,-0.33
7-Nov-12,192.22,192.16,192.75,190.3,6.32M,0.28
6-Nov-12,191.69,191.53,193.05,189.57,5.82M,0.17
5-Nov-12,191.36,188.31,191.59,187.52,5.84M,1.92
2-Nov-12,187.75,186.62,190.14,186.56,10.68M,1.4
1-Nov-12,185.16,186.99,187.48,183.77,6.57M,-1.15
31-Oct-12,187.32,188.91,189.31,186.52,5.70M,-0.55
30-Oct-12,188.35,190.37,191.2,188.01,5.18M,-1.44
29-Oct-12,191.1,189.61,192.26,189.44,4.44M,0.84
26-Oct-12,189.51,192.99,193.52,189.04,6.25M,-2.12
25-Oct-12,193.62,193.12,194.91,191.36,11.91M,0.71
23-Oct-12,192.26,195.47,195.47,191.26,5.30M,-1.36
22-Oct-12,194.91,197.56,197.76,193.02,10.99M,-1.18
19-Oct-12,197.23,193.19,198.22,192.39,20.22M,2.02
18-Oct-12,193.32,191.26,193.58,189.7,12.71M,1.16
17-Oct-12,191.1,189.77,191.83,189.01,4.38M,0.63
16-Oct-12,189.9,188.94,191.2,188.35,6.83M,-0.11
15-Oct-12,190.1,187.68,190.63,185.69,5.15M,1.14
12-Oct-12,187.95,188.78,189.08,186.69,4.88M,0
11-Oct-12,187.95,185,188.71,183.21,8.79M,0.89
10-Oct-12,186.29,185.3,186.82,184.3,6.00M,0.34
9-Oct-12,185.66,184.63,186.46,184.17,5.78M,0.83
8-Oct-12,184.14,182.78,185.23,181.68,8.60M,0.77
5-Oct-12,182.74,183.31,185.63,146.02,12.24M,0.13
4-Oct-12,182.51,179.2,183.27,179.2,9.90M,1.87
3-Oct-12,179.16,181.32,181.48,177.41,12.84M,-1.1
1-Oct-12,181.15,179.99,182.31,179.4,7.57M,0.31
28-Sep-12,180.59,176.68,180.89,176.41,14.17M,2.04
27-Sep-12,176.98,175.09,177.67,173.76,18.49M,1.2
26-Sep-12,174.89,174.16,175.42,172.67,15.39M,1.15
25-Sep-12,172.9,169.65,173.56,169.05,10.70M,1.93
24-Sep-12,169.62,173.36,173.43,168.42,11.32M,-2.2
21-Sep-12,173.43,171.04,175.39,170.28,18.02M,2.01
20-Sep-12,170.02,168.85,170.58,168.13,10.86M,0.89
18-Sep-12,168.52,168.36,171.21,166.93,13.16M,0.27
17-Sep-12,168.06,178.04,178.24,166.47,28.47M,-5.5
14-Sep-12,177.84,180.06,180.85,176.91,16.52M,-0.52
13-Sep-12,178.77,178.43,179.2,177.64,5.42M,0.13
12-Sep-12,178.53,177.51,179,176.88,5.54M,0.74
11-Sep-12,177.21,175.42,177.57,174.42,3.74M,1
10-Sep-12,175.45,174.95,176.01,173.86,6.38M,0.49
8-Sep-12,174.59,174.19,174.85,174.09,210.40K,0.23
7-Sep-12,174.19,174.36,174.82,172.63,10.29M,0.88
6-Sep-12,172.67,177.04,177.31,172.43,6.90M,-2.73
5-Sep-12,177.51,176.35,178.53,176.35,6.39M,0.47
4-Sep-12,176.68,177.08,178.24,176.11,3.90M,-0.41
3-Sep-12,177.41,178.34,178.9,176.58,5.98M,-0.02
31-Aug-12,177.44,179,179.33,176.55,7.84M,-1.09
30-Aug-12,179.4,178.27,181.15,176.41,23.96M,0.46
29-Aug-12,178.57,178.27,178.87,176.84,5.84M,0.45
28-Aug-12,177.77,175.92,178,175.92,5.81M,1.05
27-Aug-12,175.92,175.72,176.51,175.02,2.57M,0.08
24-Aug-12,175.78,174.82,176.55,173.76,10.74M,0.34
23-Aug-12,175.19,173.83,175.65,173.36,7.57M,1
22-Aug-12,173.46,172.47,174.42,171.94,4.44M,0.34
21-Aug-12,172.87,173.76,173.83,171.94,9.57M,-0.51
17-Aug-12,173.76,171.11,174.62,171.11,7.81M,1.45
16-Aug-12,171.27,177.24,178,170.71,14.65M,-3.53
14-Aug-12,177.54,176.94,178.6,175.48,5.32M,0.34
13-Aug-12,176.94,177.24,178.3,175.15,7.21M,-0.32
10-Aug-12,177.51,175.35,178.34,175.22,8.28M,0.81
9-Aug-12,176.08,173.3,176.91,173.3,7.56M,1.55
8-Aug-12,173.4,173.03,174.72,171.97,6.93M,0.1
7-Aug-12,173.23,171.41,173.6,170.45,5.09M,1.12
6-Aug-12,171.31,172.77,173.66,170.71,2.88M,-0.37
3-Aug-12,171.94,172.27,172.97,170.81,3.73M,-0.8
2-Aug-12,173.33,172.37,173.69,171.71,5.25M,0.93
1-Aug-12,171.74,171.01,172.04,169.92,2.87M,0.35
31-Jul-12,171.14,171.37,172.9,169.48,8.78M,-0.02
